id,hr_id,jd_id,resume_id,is_chosen,feedback_pos,feedback_neg,feedback_neutral
1,5,3fd52a34dcea70d0e2900a352539e2d0,25187733,1,,Purchase Executive,"Purchase Planning, Purchase"
2,5,3fd52a34dcea70d0e2900a352539e2d0,16723524,0,Purchase Planning,Purchase Executive,Purchase
3,3,e0716449612e280cd32c6ff60c5b0988,39908485,0,"fabrication drawing, tekla structures, structural design, steel detailing","steel, Design Engineer","detailing, structural detailing"
4,3,e0716449612e280cd32c6ff60c5b0988,81125166,1,"steel, tekla structures, detailing","fabrication drawing, Design Engineer","steel detailing, structural detailing, structural design"
5,3,e0716449612e280cd32c6ff60c5b0988,28815362,1,"steel detailing, fabrication drawing, steel, tekla structures, detailing, structural design",Design Engineer,structural detailing
6,3,e0716449612e280cd32c6ff60c5b0988,10985403,1,"tekla structures, detailing, structural design, structural detailing, steel detailing",Design Engineer,"steel, fabrication drawing"
7,3,e0716449612e280cd32c6ff60c5b0988,24953126,1,"steel, tekla structures",Design Engineer,"detailing, fabrication drawing, structural design, structural detailing, steel detailing"
8,3,e0716449612e280cd32c6ff60c5b0988,11155153,0,"steel, tekla structures, structural detailing",Design Engineer,"detailing, fabrication drawing, structural design, steel detailing"
9,3,5595cef0b6e37568774193537a3ac4c8,56691064,0,"Design engineering, Team management, Engineering Design, Document management system","Substation, Siemens","GIS, AutoCAD"
10,3,5595cef0b6e37568774193537a3ac4c8,96029688,1,"Design engineering, AutoCAD, Analytical",,"Engineering Design, Document management system"
11,3,5595cef0b6e37568774193537a3ac4c8,30968749,1,"Engineering Design, GIS, Substation",Siemens,"Design engineering, Team management, AutoCAD"
12,3,5595cef0b6e37568774193537a3ac4c8,19506295,1,"Substation, Design engineering, GIS",Siemens,"Document management system, Engineering Design, Analytical, AutoCAD, Team management"
13,3,5595cef0b6e37568774193537a3ac4c8,77828437,0,"GIS, Design engineering, Substation, Team management, Document management system",Siemens,AutoCAD
14,2,8fdbcf44bfb0880a14fd8ecf2bd29c49,29075857,1,SAP SCM,,"Team Lead, Technical Lead"
15,2,8fdbcf44bfb0880a14fd8ecf2bd29c49,27536013,1,SAP SCM,,"Team Lead, Technical Lead"
16,2,8fdbcf44bfb0880a14fd8ecf2bd29c49,26579709,0,"SAP SCM, Team Lead, Technical Lead",,
17,2,887e1b954029b9c8e78bff4ac3497547,27606527,1,"Team Lead/Technical Lead, Alm, Manual Testing",Regression Testing,"User Acceptance Testing, Quality Center, Functional Testing"
18,2,887e1b954029b9c8e78bff4ac3497547,29075857,1,"Regression Testing, Functional Testing",,"Team Lead/Technical Lead, User Acceptance Testing, Manual Testing, Alm, Quality Center"
19,2,887e1b954029b9c8e78bff4ac3497547,12472574,0,"Team Lead/Technical Lead, Alm, Regression Testing, User Acceptance Testing",,"Quality Center, Manual Testing, Functional Testing"
20,8,97e7d1a5f2a63580f8f58e3487c450ee,16332348,0,resource management,,"communication skills, analytical skills, written communication"
21,6,062e8f97d30dd04161931595b1cb94bf,34304175,1,"Logistics, Stock, Inventory Management","Warehouse, Inventory","Stores, Logistics Manager, Warehouse Management, Dispatch"
22,8,97e7d1a5f2a63580f8f58e3487c450ee,11887930,0,"written communication, communication skills",,"analytical skills, resource management"
23,6,062e8f97d30dd04161931595b1cb94bf,25187733,1,"Dispatch, Warehouse Management, Warehouse, Stock",Inventory,"Inventory Management, Logistics Manager, Logistics"
24,6,062e8f97d30dd04161931595b1cb94bf,32799518,0,"Dispatch, Warehouse, Logistics Manager, Stores, Inventory",Logistics,"Stock, Inventory Management, Warehouse Management"
